State,StateFIPS,CountyFIPS,AreaName,income_001,incomeA_001,incomeB_001,incomeC_001,incomeD_001,incomeE_001,incomeF_001,incomeG_001,incomeH_001,incomeI_001
OK,40,149,"Washita County, Oklahoma",49632,50265,.,37321,.,.,21023,50774,51439,30707
OK,40,151,"Woods County, Oklahoma",55315,55833,23060,60278,.,.,NA,62361,55504,60000
OK,40,153,"Woodward County, Oklahoma",55300,55599,.,53295,.,.,33068,61576,55813,45139
OR,41,001,"Baker County, Oregon",41098,41516,.,NA,35893,.,NA,25000,41803,29750
OR,41,003,"Benton County, Oregon",49802,52242,NA,58594,27778,NA,20625,25440,53658,36213
OR,41,005,"Clackamas County, Oregon",65965,66332,51855,35240,76919,NA,43059,60833,67067,48272
OR,41,007,"Clatsop County, Oregon",46408,47513,NA,36375,66094,.,25197,18056,47435,36473
OR,41,009,"Columbia County, Oregon",53179,53387,50583,43304,67128,84583,58482,49611,53872,27097
OR,41,011,"Coos County, Oregon",38605,39176,9214,27623,61513,.,25875,35357,38976,35583
OR,41,013,"Crook County, Oregon",37106,37435,.,51016,.,.,48562,18333,36822,54474
OR,41,015,"Curry County, Oregon",40884,41211,.,NA,50132,.,68286,42969,40962,56150
OR,41,017,"Deschutes County, Oregon",51223,51897,19416,32684,43006,.,37520,61397,52563,37656
OR,41,019,"Douglas County, Oregon",41312,41529,NA,23500,103229,.,26944,38427,41887,30586
OR,41,021,"Gilliam County, Oregon",44293,45404,.,.,.,.,.,.,45909,38571
OR,41,023,"Grant County, Oregon",38046,38680,.,17063,.,.,.,23036,37708,NA
OR,41,025,"Harney County, Oregon",37580,37775,46875,31607,.,.,73958,14306,38056,NA
OR,41,027,"Hood River County, Oregon",55827,57009,.,NA,NA,.,41371,42731,58160,53247
OR,41,029,"Jackson County, Oregon",44028,44599,33798,22617,51042,15291,37150,38342,45673,35653
OR,41,031,"Jefferson County, Oregon",46366,48903,33375,42043,NA,58365,28672,NA,49653,36888
OR,41,033,"Josephine County, Oregon",37665,37988,43750,60074,NA,.,41324,16380,38277,34104
OR,41,035,"Klamath County, Oregon",40336,41083,14682,25313,105227,80750,34805,37310,41194,37708
OR,41,037,"Lake County, Oregon",32369,33559,.,19276,.,.,41546,26538,34151,29018
OR,41,039,"Lane County, Oregon",44103,45046,28998,38869,32816,45610,40247,33309,45471,37962
OR,41,041,"Lincoln County, Oregon",42101,42464,NA,33036,31875,35982,65469,29281,42713,40511
OR,41,043,"Linn County, Oregon",45644,45963,NA,23125,72702,.,55387,42692,46548,30333
OR,41,045,"Malheur County, Oregon",35418,35547,NA,55833,40333,.,32143,24700,37776,31447
OR,41,047,"Marion County, Oregon",48432,50425,28841,33357,45974,32308,39013,37313,52137,39243
OR,41,049,"Morrow County, Oregon",50918,51045,.,.,.,.,48068,51208,52013,46196
OR,41,051,"Multnomah County, Oregon",54102,57449,27045,32500,52622,30457,39979,45494,59331,39321
OR,41,053,"Polk County, Oregon",52821,54652,NA,32212,35682,NA,NA,38393,55190,51414
OR,41,055,"Sherman County, Oregon",38362,38879,NA,NA,.,.,.,NA,39224,NA
OR,41,057,"Tillamook County, Oregon",42581,42794,.,NA,79457,34333,68556,21799,43388,29500
OR,41,059,"Umatilla County, Oregon",48101,49732,NA,30594,75595,NA,40923,43398,50498,42763
OR,41,061,"Union County, Oregon",43822,44375,.,54063,NA,41836,30588,21875,44585,33466
OR,41,063,"Wallowa County, Oregon",40581,40625,19375,.,.,.,.,NA,40617,40750
OR,41,065,"Wasco County, Oregon",43422,43695,.,52031,39886,2499,38355,36563,43750,41149
OR,41,067,"Washington County, Oregon",66754,67279,61752,51701,85141,41905,38990,61829,69576,44554
OR,41,069,"Wheeler County, Oregon",33487,33750,.,.,.,.,.,.,33421,59063
OR,41,071,"Yamhill County, Oregon",53423,55047,35625,24688,42619,61111,43690,55016,56281,42816
PA,42,001,"Adams County, Pennsylvania",60356,61388,32255,NA,43333,.,32543,57552,61599,33977
PA,42,003,"Allegheny County, Pennsylvania",53040,57898,27238,31098,61044,NA,40229,36158,57970,43257
PA,42,005,"Armstrong County, Pennsylvania",44942,44992,40000,48125,NA,.,.,53750,44988,44107
PA,42,007,"Beaver County, Pennsylvania",50581,52350,28447,NA,53750,.,NA,31941,52377,51067
PA,42,009,"Bedford County, Pennsylvania",45930,46059,NA,45547,51103,.,NA,40625,46077,37431
PA,42,011,"Berks County, Pennsylvania",55936,59459,31141,35042,71438,50528,30418,31949,61866,27558
PA,42,013,"Blair County, Pennsylvania",43981,44283,30833,.,73409,.,12130,29792,44187,51420
PA,42,015,"Bradford County, Pennsylvania",48987,48742,NA,NA,37679,.,86250,77083,48671,56111
PA,42,017,"Bucks County, Pennsylvania",77568,78570,46945,76107,108482,.,53529,68696,79365,56197
PA,42,019,"Butler County, Pennsylvania",60934,60823,47697,NA,110260,141250,101250,64432,60905,55694
PA,42,021,"Cambria County, Pennsylvania",42107,43150,14837,NA,NA,.,30962,13250,43141,32171
PA,42,023,"Cameron County, Pennsylvania",39897,39880,.,.,.,.,.,48417,39966,NA
PA,42,025,"Carbon County, Pennsylvania",49973,50489,34761,NA,NA,.,17656,37222,50744,41250
PA,42,027,"Centre County, Pennsylvania",52186,54551,33065,15278,29250,.,89792,34375,54881,34652
PA,42,029,"Chester County, Pennsylvania",85976,87386,48570,98106,127414,.,67867,77844,89582,51662
PA,42,031,"Clarion County, Pennsylvania",42536,43024,22989,NA,NA,.,.,39432,43015,NA
PA,42,033,"Clearfield County, Pennsylvania",42257,42138,61122,60208,NA,.,.,46029,42202,NA
PA,42,035,"Clinton County, Pennsylvania",45078,45425,NA,41250,NA,.,NA,NA,45660,NA
PA,42,037,"Columbia County, Pennsylvania",45374,46253,30915,14875,30163,.,.,31210,46521,43893
PA,42,039,"Crawford County, Pennsylvania",44579,45278,21106,16731,21944,.,NA,23421,45318,26471
PA,42,041,"Cumberland County, Pennsylvania",61820,62265,36677,NA,77500,.,41509,39107,62512,41218
PA,42,043,"Dauphin County, Pennsylvania",53754,59990,36515,34125,57106,33393,34094,42383,61096,33802
PA,42,045,"Delaware County, Pennsylvania",65123,74867,40613,44766,71357,83214,37106,49821,75326,38914
PA,42,047,"Elk County, Pennsylvania",46671,46601,.,.,NA,.,.,NA,46530,100365
PA,42,049,"Erie County, Pennsylvania",45971,48290,24473,25658,31455,NA,24688,26250,48657,19381
PA,42,051,"Fayette County, Pennsylvania",39636,40678,20456,.,48326,.,NA,21146,40675,27262
PA,42,053,"Forest County, Pennsylvania",35533,35321,.,.,135208,.,.,41563,35473,33333
PA,42,055,"Franklin County, Pennsylvania",53916,55109,30214,28688,57560,.,43068,38900,55557,38934
PA,42,057,"Fulton County, Pennsylvania",48311,49088,21250,NA,.,.,.,30000,49426,28250
PA,42,059,"Greene County, Pennsylvania",46661,47138,35000,.,.,.,NA,NA,47003,NA
PA,42,061,"Huntingdon County, Pennsylvania",44396,44471,NA,NA,31250,.,96250,46875,44498,37188
PA,42,063,"Indiana County, Pennsylvania",45195,45305,40556,NA,NA,.,NA,21103,45359,36250
PA,42,065,"Jefferson County, Pennsylvania",42903,43147,NA,NA,53750,.,.,37857,43246,30833
PA,42,067,"Juniata County, Pennsylvania",47398,47564,NA,.,2499,.,53125,22206,47922,41184
PA,42,069,"Lackawanna County, Pennsylvania",46271,46849,31192,31625,45169,.,38819,32037,47478,26552
PA,42,071,"Lancaster County, Pennsylvania",57721,59790,33793,43304,70479,.,29563,42287,60687,32206
PA,42,073,"Lawrence County, Pennsylvania",44571,45877,18028,.,98750,.,35486,19000,45928,40515
PA,42,075,"Lebanon County, Pennsylvania",55499,57224,36766,112566,72616,.,27330,52857,57609,35560
PA,42,077,"Lehigh County, Pennsylvania",56117,58751,34913,49444,91266,.,35244,46397,61920,35773
PA,42,079,"Luzerne County, Pennsylvania",45897,47331,21658,13047,64508,.,29648,30181,47820,29652
PA,42,081,"Lycoming County, Pennsylvania",47313,48604,26579,NA,82188,.,19500,25915,48652,26250
PA,42,083,"McKean County, Pennsylvania",43965,44175,.,NA,NA,.,.,18750,44122,32353
PA,42,085,"Mercer County, Pennsylvania",44156,45735,25910,NA,67000,.,28301,25169,45819,29262
PA,42,087,"Mifflin County, Pennsylvania",41288,41371,NA,NA,NA,.,.,32500,41407,NA
PA,42,089,"Monroe County, Pennsylvania",57365,57031,59221,61563,80575,.,39256,44306,56567,56912
PA,42,091,"Montgomery County, Pennsylvania",80675,83652,53994,64286,87743,.,46500,64142,84297,56152
PA,42,093,"Montour County, Pennsylvania",54648,53397,.,.,80375,.,.,151125,53589,NA
PA,42,095,"Northampton County, Pennsylvania",60972,62375,44719,29604,80378,.,44987,33212,63833,40092
PA,42,097,"Northumberland County, Pennsylvania",42406,42540,25121,NA,73050,.,NA,76875,42534,31435
PA,42,099,"Perry County, Pennsylvania",57177,57520,27292,49000,NA,.,19145,63250,57482,45455
PA,42,101,"Philadelphia County, Pennsylvania",38253,50895,30180,25885,39091,30682,26375,33595,53876,27945
PA,42,103,"Pike County, Pennsylvania",60180,59775,69395,.,120227,.,77593,54821,60492,56642
PA,42,105,"Potter County, Pennsylvania",40654,40687,37500,41389,.,.,.,33750,40755,26250
PA,42,107,"Schuylkill County, Pennsylvania",45535,45908,24259,8954,54432,.,32045,50724,46121,33705
PA,42,109,"Snyder County, Pennsylvania",49917,50203,NA,.,NA,.,NA,26295,50347,31563
